#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.01
             2.60          2.80        -90.00        -73.74          0.00
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          0.91
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74          1.38
             4.20          4.40        -90.00        -73.74         48.96
             4.40          4.60        -90.00        -73.74        209.59
             4.60          4.80        -90.00        -73.74       1714.94
             4.80          5.00        -90.00        -73.74       7830.11
             5.00          5.20        -90.00        -73.74      20228.66
             5.20          5.40        -90.00        -73.74      50662.01
             5.40          5.60        -90.00        -73.74     121989.46
             5.60          5.80        -90.00        -73.74     244170.71
             5.80          6.00        -90.00        -73.74     409749.34
             6.00          6.20        -90.00        -73.74     620058.62
             6.20          6.40        -90.00        -73.74     859291.17
             6.40          6.60        -90.00        -73.74    1222577.87
             6.60          6.80        -90.00        -73.74    1603929.12
             6.80          7.00        -90.00        -73.74    2043088.49
             7.00          7.20        -90.00        -73.74    2722707.23
             7.20          7.40        -90.00        -73.74    3276284.07
             7.40          7.60        -90.00        -73.74    3924723.09
             7.60          7.80        -90.00        -73.74    4835149.56
             7.80          8.00        -90.00        -73.74    5925699.38
             8.00          8.20        -90.00        -73.74    7096764.34
             8.20          8.40        -90.00        -73.74    7982926.12
             8.40          8.60        -90.00        -73.74    9493346.89
             8.60          8.80        -90.00        -73.74   10823394.09
             8.80          9.00        -90.00        -73.74   12350112.22
             9.00          9.20        -90.00        -73.74          0.00
             9.20          9.40        -90.00        -73.74          0.00
             9.40          9.60        -90.00        -73.74          0.00
             9.60          9.80        -90.00        -73.74          0.00
             9.80         10.00        -90.00        -73.74          0.00
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.01
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.00
             3.60          3.80        -73.74        -66.93          0.00
             3.80          4.00        -73.74        -66.93          0.00
             4.00          4.20        -73.74        -66.93         10.93
             4.20          4.40        -73.74        -66.93         58.30
             4.40          4.60        -73.74        -66.93        418.26
             4.60          4.80        -73.74        -66.93       1990.68
             4.80          5.00        -73.74        -66.93       8719.03
             5.00          5.20        -73.74        -66.93      25041.54
             5.20          5.40        -73.74        -66.93      60045.00
             5.40          5.60        -73.74        -66.93     145537.36
             5.60          5.80        -73.74        -66.93     290364.68
             5.80          6.00        -73.74        -66.93     474905.06
             6.00          6.20        -73.74        -66.93     717828.04
             6.20          6.40        -73.74        -66.93    1044215.20
             6.40          6.60        -73.74        -66.93    1392358.49
             6.60          6.80        -73.74        -66.93    1806626.33
             6.80          7.00        -73.74        -66.93    2302590.84
             7.00          7.20        -73.74        -66.93    2951855.70
             7.20          7.40        -73.74        -66.93    3600090.47
             7.40          7.60        -73.74        -66.93    4601117.02
             7.60          7.80        -73.74        -66.93    5432174.75
             7.80          8.00        -73.74        -66.93    6847679.12
             8.00          8.20        -73.74        -66.93    7351862.61
             8.20          8.40        -73.74        -66.93    9366690.07
             8.40          8.60        -73.74        -66.93   10661083.50
             8.60          8.80        -73.74        -66.93   12455779.18
             8.80          9.00        -73.74        -66.93   13916574.92
             9.00          9.20        -73.74        -66.93          0.00
             9.20          9.40        -73.74        -66.93          0.00
             9.40          9.60        -73.74        -66.93          0.00
             9.60          9.80        -73.74        -66.93          0.00
             9.80         10.00        -73.74        -66.93          0.00
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.00
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.00
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64         14.54
             4.20          4.40        -66.93        -61.64         48.77
             4.40          4.60        -66.93        -61.64        216.88
             4.60          4.80        -66.93        -61.64       1455.20
             4.80          5.00        -66.93        -61.64       8563.09
             5.00          5.20        -66.93        -61.64      24003.12
             5.20          5.40        -66.93        -61.64      66868.98
             5.40          5.60        -66.93        -61.64     157313.68
             5.60          5.80        -66.93        -61.64     310686.96
             5.80          6.00        -66.93        -61.64     528949.97
             6.00          6.20        -66.93        -61.64     795946.62
             6.20          6.40        -66.93        -61.64    1113826.36
             6.40          6.60        -66.93        -61.64    1488095.80
